Ready_for_Service_Date,Area_ID,Service_Status,Technology_Type,longitude,latitude
29/07/2015,2BEG-51-03-BLKR-10-07,In Service,Fixed Wireless,149.832482,-36.709603
29/07/2015,2BEG-51-03-BLKR-10-08,In Service,Fixed Wireless,149.785885,-36.711549
29/07/2015,2BEG-51-03-BLKR-11-01,In Service,Fixed Wireless,149.833998,-36.704173
12/01/2016,2BEG-51-04-BROG-00-01,In Service,Fixed Wireless,149.832765,-36.534233
12/01/2016,2BEG-51-04-BROG-00-02,In Service,Fixed Wireless,149.819084,-36.591446
12/01/2016,2BEG-51-04-BROG-00-03,In Service,Fixed Wireless,149.789912,-36.558285
12/01/2016,2BEG-51-04-BROG-10-04,In Service,Fixed Wireless,149.845272,-36.601405
26/05/2016,2BEG-51-05-JELL-00-01,In Service,Fixed Wireless,149.854551,-36.719063
26/05/2016,2BEG-51-05-JELL-00-02,In Service,Fixed Wireless,149.936423,-36.789021
26/05/2016,2BEG-51-05-JELL-00-03,In Service,Fixed Wireless,149.808986,-36.747867
26/05/2016,2BEG-51-05-JELL-10-04,In Service,Fixed Wireless,149.898445,-36.70235
26/05/2016,2BEG-51-05-JELL-10-05,In Service,Fixed Wireless,149.882615,-36.723493
15/03/2018,2BEG-51-07-KALR-00-01,In Service,Fixed Wireless,149.981582,-36.703715
15/03/2018,2BEG-51-07-KALR-00-02,In Service,Fixed Wireless,149.959989,-36.746833
15/03/2018,2BEG-51-07-KALR-00-03,In Service,Fixed Wireless,149.943359,-36.718468
15/03/2018,2BEG-51-07-KALR-00-04,In Service,Fixed Wireless,149.913768,-36.738889
15/03/2018,2BEG-51-07-KALR-01-01,In Service,Fixed Wireless,149.944035,-36.729915
15/03/2018,2BEG-51-07-KALR-10-05,In Service,Fixed Wireless,149.966315,-36.71045
15/03/2018,2BEG-51-07-KALR-10-06,In Service,Fixed Wireless,149.911592,-36.755316
12/01/2016,2BEG-51-08-QUAA-00-01,In Service,Fixed Wireless,149.818084,-36.46584
12/01/2016,2BEG-51-08-QUAA-00-02,In Service,Fixed Wireless,149.870228,-36.463277
12/01/2016,2BEG-51-08-QUAA-00-03,In Service,Fixed Wireless,149.845706,-36.496256
12/01/2016,2BEG-51-08-QUAA-00-06,In Service,Fixed Wireless,149.884715,-36.462697
12/01/2016,2BEG-51-08-QUAA-10-04,In Service,Fixed Wireless,149.831267,-36.459684
12/01/2016,2BEG-51-08-QUAA-10-05,In Service,Fixed Wireless,149.863724,-36.46025
27/02/2015,2BLA-51-02-BLYY-00-01,In Service,Fixed Wireless,149.220843,-33.498488
27/02/2015,2BLA-51-02-BLYY-00-02,In Service,Fixed Wireless,149.295782,-33.505956
27/02/2015,2BLA-51-02-BLYY-00-03,In Service,Fixed Wireless,149.271958,-33.540354
27/02/2015,2BLA-51-02-BLYY-00-07,In Service,Fixed Wireless,149.237548,-33.525797
27/02/2015,2BLA-51-02-BLYY-01-01,In Service,Fixed Wireless,149.252216,-33.518358
27/02/2015,2BLA-51-02-BLYY-01-02,In Service,Fixed Wireless,149.246351,-33.520489
27/02/2015,2BLA-51-02-BLYY-01-04,In Service,Fixed Wireless,149.249906,-33.522679
27/02/2015,2BLA-51-02-BLYY-10-04,In Service,Fixed Wireless,149.232348,-33.49244
27/02/2015,2BLA-51-02-BLYY-10-05,In Service,Fixed Wireless,149.299898,-33.499804
27/02/2015,2BLA-51-02-BLYY-10-06,In Service,Fixed Wireless,149.269311,-33.561211
27/02/2015,2BLA-51-02-BLYY-10-08,In Service,Fixed Wireless,149.23506,-33.541234
27/02/2015,2BLA-51-02-BLYY-11-03,In Service,Fixed Wireless,149.255386,-33.528453
27/02/2015,2BLA-51-02-BLYY-11-05,In Service,Fixed Wireless,149.254105,-33.518534
31/03/2015,2BLA-51-05-CARC-00-01,In Service,Fixed Wireless,149.13046,-33.568724
31/03/2015,2BLA-51-05-CARC-00-02,In Service,Fixed Wireless,149.148919,-33.620465
31/03/2015,2BLA-51-05-CARC-00-03,In Service,Fixed Wireless,149.121218,-33.588308
31/03/2015,2BLA-51-08-LYND-00-01,In Service,Fixed Wireless,149.036659,-33.646459
31/03/2015,2BLA-51-08-LYND-00-02,In Service,Fixed Wireless,149.041849,-33.711905
31/03/2015,2BLA-51-08-LYND-00-03,In Service,Fixed Wireless,148.992293,-33.66513
31/03/2015,2BLA-51-08-LYND-00-04,In Service,Fixed Wireless,149.041118,-33.676689
31/03/2015,2BLA-51-08-LYND-10-05,In Service,Fixed Wireless,149.049354,-33.668598
31/03/2015,2BLA-51-08-LYND-10-06,In Service,Fixed Wireless,148.986881,-33.64933
31/03/2015,2BLA-51-09-MDMD-00-01,In Service,Fixed Wireless,149.120145,-33.638843
31/03/2015,2BLA-51-09-MDMD-00-02,In Service,Fixed Wireless,149.121821,-33.66674
31/03/2015,2BLA-51-09-MDMD-00-03,In Service,Fixed Wireless,149.061905,-33.647813
31/03/2015,2BLA-51-09-MDMD-10-04,In Service,Fixed Wireless,149.098354,-33.666741
31/03/2015,2BLA-51-09-MDMD-10-05,In Service,Fixed Wireless,149.010568,-33.725148
31/03/2015,2BLA-51-13-NVLI-00-01,In Service,Fixed Wireless,149.204681,-33.671105
31/03/2015,2BLA-51-13-NVLI-00-02,In Service,Fixed Wireless,149.253695,-33.709035
31/03/2015,2BLA-51-13-NVLI-00-03,In Service,Fixed Wireless,149.182455,-33.713679
31/03/2015,2BLA-51-13-NVLI-10-04,In Service,Fixed Wireless,149.261323,-33.73686
29/07/2015,2BLA-51-14-NEWB-00-01,In Service,Fixed Wireless,149.324653,-33.521427
29/07/2015,2BLA-51-14-NEWB-00-02,In Service,Fixed Wireless,149.36928,-33.585428
29/07/2015,2BLA-51-14-NEWB-00-03,In Service,Fixed Wireless,149.336822,-33.622038
